,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0,135.9618307161331,9.818957415490484,0.024389185905456544,0.00930944083476741,True,100,1,2,100,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.03231599934314601,-0.031994640259589945,-0.037237180180944573,-0.02856671131890249,-0.033585532918892054,-0.033194246308661385,-0.0352660012650542,-0.030484023920383383,-0.03156136717578039,-0.03163052835834435,-0.031473472931908615,-0.03320182238566396,-0.03415109224723604,-0.03279186076239472,-0.031930481352596414,-0.03498252184941546,-0.0311252977357108,-0.031591701662570464,-0.03231942173589102,-0.03123955780489623,-0.03295206028776875,-0.03262623777118175,-0.03228380828407296,-0.030683321398079246,-0.03422687846807313,-0.03169709973244717,-0.032741034215612155,-0.03053734368651577,-0.03360775772458313,-0.03269830193845343,-0.0321070469651907,-0.034732829382704195,-0.03194311306193278,-0.031603818898458605,-0.030797632320271086,-0.032340200585448224,-0.03343875900044626,-0.03325209195589995,-0.03015382278249552,-0.03304931088926232,-0.03233586280212573,-0.03170885324293636,-0.03366499379206966,-0.03347963097399481,-0.03143834207317652,-0.029880927112349086,-0.031591721449543315,-0.03305149671774584,-0.034414066841014064,-0.03489893442006593,-0.032491615205838015,0.0015407491480204122,21
1,269.7848137283325,15.278426004870585,0.05000321388244629,0.013986741057060074,True,100,1,2,200,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.0325564931889269,-0.03161148273457507,-0.03707688424269453,-0.02832715116786439,-0.033221582990062705,-0.03311159086031805,-0.035279154928724445,-0.030357159993119737,-0.03154819006065799,-0.031514735777172995,-0.031151546358457394,-0.0329958763270866,-0.03388076988020117,-0.03270462359673312,-0.031806225616961226,-0.03481580607765648,-0.031031295315306625,-0.03136963132986765,-0.032336797718361614,-0.031191327404969393,-0.032885925108245236,-0.03250790117842497,-0.03231677976177418,-0.03046322648711519,-0.03402819806316905,-0.031820327019506406,-0.032503258969851276,-0.03032688317781994,-0.03365843893191769,-0.0323146579370984,-0.03201857469984392,-0.03440292336605789,-0.03185069075528308,-0.031589325809868875,-0.030946628663376847,-0.03220018730924119,-0.03338180593042644,-0.0334380533845972,-0.030196036946035013,-0.03310988437368262,-0.032272727427350295,-0.03166770632405223,-0.03357530923431938,-0.03337436440605466,-0.031191247710140774,-0.0294734580642592,-0.031546662057865486,-0.03288973979474281,-0.034316619293508176,-0.03464114229336079,-0.032375940200974146,0.0015437380238118529,5
2,540.9879491853713,21.766065654180093,0.10498663425445556,0.04077734048507133,True,100,1,2,400,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-0.03260523706869939,-0.03159520062348636,-0.03714371742956279,-0.028326667799950685,-0.03308570015935889,-0.03309998359172323,-0.03526873472657363,-0.030220382096632848,-0.03141970601726002,-0.031444471619761126,-0.03093526818500544,-0.033201717227869625,-0.0336431410069919,-0.03279597953686557,-0.031812580261631765,-0.034768248641427225,-0.031066885965920072,-0.0312957166126994,-0.032326878136954895,-0.031183337466656937,-0.03286900677244673,-0.03231129598395369,-0.03237520225761125,-0.030484186965404267,-0.034205625822003434,-0.03180418230816054,-0.032268742625149074,-0.03001627294794577,-0.03358453262542827,-0.032128696812255136,-0.03194598372872845,-0.03420329842793864,-0.03184217451448595,-0.03167529384723517,-0.030920455891705674,-0.0322653596240374,-0.033162666397226995,-0.03332816763717843,-0.029947737899100046,-0.03305305815967161,-0.032084164704510455,-0.03136435933525054,-0.03349467371624956,-0.033208284837735705,-0.03127359061121531,-0.029067453628939127,-0.03155660951483868,-0.03286483819022729,-0.03431330900162145,-0.03455989887889014,-0.03230837355684354,0.001573738623954992,3
3,1083.3956099033355,40.58469783192033,0.1999586057662964,0.03994855412793596,True,100,1,2,800,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",-0.03266296407614145,-0.03139579661001828,-0.03709308284102906,-0.028320174726991512,-0.03313336859649496,-0.03311327447738168,-0.03533573465028899,-0.030160455336597468,-0.03121610014500105,-0.031429774364068665,-0.031011139276824126,-0.03296063402078223,-0.033515843191400885,-0.03278627805578703,-0.03175804888372889,-0.03474988502253153,-0.031045554137015763,-0.031241079279385416,-0.03231959859259577,-0.03118307599268869,-0.032834144301880724,-0.03230160804716749,-0.03238090578264863,-0.030532925579386853,-0.03404501524596909,-0.031673761690758494,-0.03222863067099003,-0.03005246733823728,-0.033558482861454964,-0.03205950197330221,-0.0317816676348637,-0.03417110098489291,-0.03192465442333163,-0.031773359842472225,-0.030783466339634094,-0.03214721381209513,-0.0329865472965748,-0.03347412807768026,-0.029995906176075438,-0.033072612223867856,-0.03211107911088452,-0.03137379666236851,-0.03331771525081134,-0.033108331441188264,-0.03132019492427663,-0.029012868368605366,-0.03163397360242984,-0.03273766322888783,-0.03439705353108828,-0.034418423935777924,-0.03227282125272712,0.001565517955086375,1
4,115.19785929679871,8.536876573106282,0.021565442085266114,0.007593127026318983,True,100,1,5,100,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.03240233716415902,-0.03199202010216591,-0.03738617032098675,-0.028812458046691868,-0.03365415293406163,-0.03332576749419398,-0.03558336628548467,-0.030328075570819117,-0.031816156614189954,-0.03180121873749823,-0.031450897834080345,-0.033120803946839764,-0.03399257725859097,-0.032832853454307497,-0.03211570553424403,-0.03518077402088324,-0.031273069916804765,-0.03180224232134851,-0.032648338833264054,-0.03128022831176887,-0.033106953199043526,-0.032727973870148135,-0.03260243202326402,-0.030622173610454616,-0.03416193795222169,-0.03199050078818952,-0.03289568414965708,-0.030426743375625804,-0.03373910152119142,-0.032809503064646424,-0.03214752575455165,-0.03493045570977275,-0.03228582776733159,-0.031782852186842674,-0.031109639054179964,-0.03244335310119605,-0.033315182435363806,-0.03350961671737434,-0.030260491431049988,-0.033276138094510514,-0.032477202017938356,-0.03194641339387718,-0.033672068283801745,-0.033673035235155906,-0.0315037895459852,-0.02992575533441572,-0.03189666043896442,-0.03324070344695516,-0.034589988473205276,-0.03484938757332974,-0.032614366085052554,0.0015447457638790975,29
5,231.1914520263672,14.251689291550564,0.04512159824371338,0.013213309857533108,True,100,1,5,200,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.03265879162229562,-0.03165101754961831,-0.03716422285135082,-0.028569873573314523,-0.03329828221609264,-0.03330872127686594,-0.035545579432716946,-0.030398432950481384,-0.03169438264309611,-0.03165410881877305,-0.031188907951573523,-0.033066430029642206,-0.03382241326827042,-0.03275329080675952,-0.03204284617828059,-0.03497115654445961,-0.031156607912111323,-0.03150774877610475,-0.03248937383218017,-0.031223549664590452,-0.03315861081614849,-0.03254105771778921,-0.0324684183319902,-0.030490134743325206,-0.034180558780207065,-0.03193686623091108,-0.032711442894891564,-0.03048099765054685,-0.033802145945370295,-0.032340581194716826,-0.03209467163957215,-0.03454600801438329,-0.03221130751350884,-0.031858734055237634,-0.031192651404552494,-0.032334560360713,-0.0333480169845383,-0.03374877606939842,-0.030345592190142986,-0.033209760868081875,-0.032408062240415626,-0.03192938641337315,-0.03361241643790903,-0.033548137126749464,-0.03125710620055554,-0.02958999708280269,-0.03183127900251235,-0.033030737835298044,-0.03445310398896298,-0.03472561951263701,-0.03251104954291639,0.0015396134691290735,23
6,464.71851987838744,23.485256906698794,0.08574196815490723,0.022748336537704864,True,100,1,5,400,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-0.03271475812258167,-0.03166324241996022,-0.03728135717769247,-0.02851917107945246,-0.03317288294090529,-0.03327656624242273,-0.03552020371850351,-0.03031976134188517,-0.031571860847536146,-0.03157630709574799,-0.031075008655777364,-0.033288462754938214,-0.03375578515070319,-0.032838836360411565,-0.03198210065641794,-0.03492447472445945,-0.03124144874364232,-0.03146192366365929,-0.03241238316389242,-0.03130079035428881,-0.03306858440054945,-0.032396429794112454,-0.03257574462438156,-0.030519718050872693,-0.03426741229802152,-0.03191257904609802,-0.03242549185321532,-0.03018128356427067,-0.03367339896640432,-0.0322600623775557,-0.032062467032437154,-0.034348559592706815,-0.03204592814382376,-0.03190326786961789,-0.031117157557908236,-0.032355555111123174,-0.03322280177148481,-0.03359343625146975,-0.030127193471973353,-0.03316206111841148,-0.032292309176438556,-0.0315808258628803,-0.033579910798202064,-0.03338900559824919,-0.0313864056837438,-0.029174140081371355,-0.031809990408195515,-0.03302627409156307,-0.03440384456069342,-0.03474744053829508,-0.032450132098218974,0.0015721663369907396,15
7,928.7856053924561,36.03733716650014,0.1648169469833374,0.03258736471320141,True,100,1,5,800,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",-0.0327585152634139,-0.03150887671230771,-0.03730400317402483,-0.028444434697557044,-0.03323008093355142,-0.033260277509713866,-0.03555274703132212,-0.030290704680511007,-0.03136828801709118,-0.031554692098757435,-0.031143923187539536,-0.03303830683740219,-0.03366048648828774,-0.03287291242950333,-0.031913148257070666,-0.03487875061018552,-0.031129659625098744,-0.0314158786868116,-0.03241431440061448,-0.03128520280010402,-0.03300652282705553,-0.03242977772374883,-0.032501786455773396,-0.03066096586187177,-0.03411776774269401,-0.0318203176507325,-0.032392592629343055,-0.030237561733539486,-0.03370668958569814,-0.032274602054773574,-0.03194470341268053,-0.034304822054767425,-0.03208911784275351,-0.03201242840838064,-0.030936259919093115,-0.0322833893965399,-0.03311203743446636,-0.03368009370617769,-0.030119205256837558,-0.03318719358705492,-0.03225746924517391,-0.03152929080592915,-0.03338403833926035,-0.03327238895150326,-0.03140942144787014,-0.02914696277613421,-0.03192111363315971,-0.032859037570765345,-0.034559586124463734,-0.03455672863982965,-0.03241478152517879,0.0015705457892721372,9
8,102.0912087726593,7.135073701827615,0.021042704582214355,0.007362341934844177,True,100,1,10,100,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.032967482662177826,-0.03237359851512694,-0.03792324934843054,-0.029300217470349253,-0.03393693727199573,-0.03380599005728113,-0.036155733106628125,-0.030859581663977433,-0.03211327554898424,-0.032226861524939254,-0.03216208038342538,-0.033739686606537346,-0.03462017251679842,-0.033306992991960334,-0.03264613737411052,-0.03566220108227592,-0.031892238056630384,-0.03236506110033077,-0.03318599222890814,-0.031695616788953704,-0.03360055757324201,-0.0334323697479196,-0.033063207112443926,-0.03132056683428336,-0.034598068856865595,-0.03244381198874679,-0.03326891901401692,-0.030916520940178473,-0.034375844826752,-0.03319573398554803,-0.03264290417597658,-0.0355833708203411,-0.032738515457068115,-0.03235946298582752,-0.03159603446576375,-0.03299559434319478,-0.033868385571293944,-0.03404191104425612,-0.03080603774673682,-0.0337981719017257,-0.03294516332852593,-0.03237387430106225,-0.03420808713001173,-0.034122461041359985,-0.031755101256320285,-0.030325200642576888,-0.0323927864757356,-0.03364764470438443,-0.03516418437013404,-0.035649356569143906,-0.03312337911022515,0.0015683665207486426,47
9,207.32330789089204,13.47218465078951,0.03731462001800537,0.007526454591652425,True,100,1,10,200,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.03324633489684732,-0.03215260183641534,-0.03776753685707145,-0.02899472789702863,-0.033777290103495415,-0.033860213072673354,-0.0361209329324523,-0.030859823210734355,-0.032199961589926544,-0.032107385989233746,-0.03196565619534411,-0.03375037617510653,-0.03452675956998821,-0.03321789366438558,-0.032514269506249735,-0.035468741586399864,-0.03169715826091788,-0.03218810750121189,-0.03305102621630406,-0.031717890271025395,-0.03368382330793791,-0.03321451227064537,-0.033034573161029986,-0.031103669273379656,-0.03458572020000821,-0.03249361724535373,-0.03306999112708316,-0.0308872039947541,-0.0344101477292128,-0.03286471334797784,-0.032543677730169564,-0.03519524923962101,-0.03267331776257418,-0.032463264385431706,-0.0316583973898673,-0.03284742304616918,-0.033943542767385135,-0.034229942037552204,-0.030880829507321773,-0.0336522932440968,-0.03285296008020002,-0.032302546927131484,-0.03406659965142169,-0.034068469737979605,-0.031576747126750355,-0.029932424800978127,-0.03233428735240613,-0.03342167225009965,-0.0350819249312299,-0.0353514473047056,-0.03303219352526572,0.0015721003342097724,43
10,415.27966265678407,19.263693057516548,0.0853257131576538,0.06482244890731353,True,100,1,10,400,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-0.03321728155465126,-0.03220607436419988,-0.03778331545519182,-0.028939004721138386,-0.03371627913615288,-0.03386204501703389,-0.03612570654145065,-0.030768149289148783,-0.032169882370256725,-0.032103845898779536,-0.03169718474965624,-0.03387387194745374,-0.03432065700101683,-0.03330789583090531,-0.032529289283556355,-0.03540258653488327,-0.031691056450049826,-0.03213847438639205,-0.0329787290671231,-0.03175513944401477,-0.033661176918564455,-0.033090112973860906,-0.03304681181999219,-0.03112286650604195,-0.03464525134105704,-0.032506169776407565,-0.032933002353183055,-0.030653543866998055,-0.03432647517208025,-0.0326966097378462,-0.03251175942258299,-0.03497129299556312,-0.032571398088977695,-0.0324806513685135,-0.03164591103088416,-0.03291085839139348,-0.03384176107469975,-0.03415942010609333,-0.030702284698963033,-0.03359644108111622,-0.03271449324510544,-0.03205157541519547,-0.03413258997023645,-0.03391414090655058,-0.03180922929810349,-0.029704070332912974,-0.03232674737670462,-0.03349522324282542,-0.035082994236334354,-0.035267732055123895,-0.03298318127693934,0.0015861018002894763,39
11,827.0490323114395,34.82792491396953,0.15194648742675781,0.02977745185807665,True,100,1,10,800,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 800}",-0.03326483153660081,-0.032011246080626624,-0.03777644027144087,-0.028910070457067772,-0.03379111329423704,-0.03383431542890006,-0.03616760265176954,-0.030696181500814757,-0.031920741397882604,-0.032046248234762986,-0.031713368735677275,-0.033633690473024225,-0.03423277274808877,-0.03329710768811067,-0.03249929364907086,-0.03541588009286037,-0.03167746939728413,-0.0320632439272618,-0.03298827208149074,-0.03176723329724277,-0.03360517763963766,-0.033063338163375935,-0.03302796138666639,-0.031159607333994893,-0.03450219015883381,-0.032434542230500005,-0.0329197344885511,-0.030677104914580405,-0.03434337186566545,-0.0326409887825866,-0.03242120884778579,-0.0349375607437646,-0.032630139619842916,-0.03255788750452372,-0.031457484108453435,-0.03286902356978684,-0.033745938726721804,-0.03425487037443881,-0.030641718368751188,-0.03362247798217464,-0.03271878362351761,-0.032037949107698624,-0.03397182006741239,-0.033817315274399316,-0.031860815030490014,-0.029639518901968896,-0.03239271749578795,-0.03339797253005851,-0.03515683237286813,-0.035142014047975484,-0.032947103764140555,0.0015914097598378571,33
12,111.3032387971878,7.542073213714195,0.02728057384490967,0.023127270437962387,True,100,2,2,100,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.03230418164041487,-0.0319117293684962,-0.037391932327465384,-0.028591800261230246,-0.03361079326310465,-0.03311146141839588,-0.035549767286301416,-0.030508488040239666,-0.031516911846988384,-0.03169686467856632,-0.031588046594625566,-0.03319356902078657,-0.03388251356478191,-0.03290409976428758,-0.03201518189313325,-0.03521395955196504,-0.03127828980989384,-0.0317568001248801,-0.032422930565314534,-0.03125113354439056,-0.03306100364453899,-0.032711131070733014,-0.03258113314327588,-0.0308509135829422,-0.034086081874789044,-0.031803039311917185,-0.03271455801629906,-0.03048874943532479,-0.0337249079272276,-0.0326815064266992,-0.032187982541875375,-0.034851052354710976,-0.032190116229326216,-0.03174145845413156,-0.030959713857445267,-0.03221403751809099,-0.033471654391963306,-0.03348525602476806,-0.030219947417011638,-0.033166854583175615,-0.03245975815210609,-0.03204126721373357,-0.03383730248335292,-0.03363190395242732,-0.03144152989024567,-0.029832920438792807,-0.031838642955583536,-0.03305185617834029,-0.03451883911762887,-0.03495982375971918,-0.032570107930268766,0.0015545561149419365,27
13,223.36790446281432,12.956009102457617,0.042298779487609864,0.007036553093812676,True,100,2,2,200,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.03261474869501237,-0.03158014285541982,-0.037104149469239796,-0.02849062876416585,-0.03333434256065886,-0.03319830651557637,-0.035511190939079756,-0.03042547020431496,-0.031581133614219346,-0.03159917849358134,-0.03126904976124829,-0.03308217588995374,-0.033819620196482325,-0.0328613201400178,-0.0321091090043053,-0.03499567769679652,-0.031098292761040678,-0.031567702506517865,-0.03245285852783152,-0.03124685413042751,-0.033101064131402784,-0.03258062715728686,-0.03250691186598717,-0.030599332229721082,-0.03410836526280171,-0.03180959807440797,-0.03252552154894072,-0.0303833564406325,-0.033746814478576845,-0.0323586436980282,-0.03209616304890204,-0.0345603039054126,-0.032017130446062594,-0.031791837541000886,-0.03106279722002798,-0.032207971851394464,-0.033403618692079806,-0.03363158629029089,-0.03028246601307227,-0.033180182615165185,-0.03234398765737437,-0.03196098613679466,-0.033716226347271394,-0.033562449281996615,-0.03119857566262965,-0.029470983237479945,-0.031742855112230295,-0.032923517673799016,-0.03441461714958398,-0.03485865388807304,-0.032481781947686354,0.0015523097076698656,19
14,448.23084587574004,21.46380774447875,0.09579310894012451,0.02918251435925196,True,100,2,2,400,"{'bootstrap': True, 'max_depth': 100, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-0.03263222080071981,-0.031607646280168135,-0.03708157057950525,-0.028484132873442935,-0.03323614089505009,-0.03308911059690854,-0.035417802364354226,-0.030282887112911987,-0.031439658925026925,-0.03156175729301474,-0.03108805167310692,-0.033322503373415975,-0.03364172886349072,-0.032948734013977576,-0.032041001973112375,-0.03495423312587442,-0.031182258647959957,-0.03146463604331201,-0.03246776856346803,-0.03127476795749694,-0.03300510253883839,-0.032429808637712186,-0.032583230333954744,-0.03068158269845976,-0.03417771722843323,-0.03187209658436307,-0.032308736500799226,-0.030082584234128577,-0.033758580610448695,-0.032236557211138696,-0.032053342770771355,-0.03438802624717044,-0.03197548522262277,-0.0318420429594223,-0.03107426045433962,-0.032323952636001275,-0.03320869870438403,-0.03349710083881859,-0.030124409678125904,-0.03306867737351811,-0.03215399842778512,-0.03159748890345135,-0.033567876383141786,-0.03339361543456348,-0.031294923508303804,-0.02918705273594643,-0.03173903055473315,-0.03293236258981739,-0.03442274699468493,-0.034717652631930676,-0.032418347071682535,0.001559733222609838,11
